size,duration_ms
10,2
20,2
30,1
40,2
50,2
60,2
70,2
80,2
90,1
100,2
110,1
120,2
130,2
140,1
150,1
160,2
170,2
180,1
190,3
200,2
210,2
220,2
230,1
240,2
250,2
260,1
270,3
280,2
290,3
300,2
310,1
320,2
330,2
340,3
350,2
360,2
370,2
380,3
390,3
400,2
410,3
420,2
430,3
440,3
450,2
460,4
470,3
480,4
490,4
500,4
510,3
520,4
530,3
540,5
550,3
560,5
570,5
580,5
590,4
600,5
610,5
620,5
630,4
640,5
650,5
660,6
670,5
680,4
690,5
700,5
710,4
720,4
730,5
740,6
750,6
760,5
770,6
780,5
790,5
800,5
810,7
820,5
830,5
840,7
850,5
860,6
870,6
880,6
890,5
900,7
910,7
920,5
930,5
940,7
950,5
960,5
970,7
980,6
990,6
1000,8
1010,6
1020,6
1030,9
1040,6
1050,7
1060,9
1070,7
1080,5
1090,6
1100,6
1110,7
1120,9
1130,8
1140,10
1150,6
1160,7
1170,10
1180,7
1190,7
1200,7
1210,8
1220,9
1230,8
1240,8
1250,7
1260,10
1270,11
1280,8
1290,11
1300,9
1310,7
1320,8
1330,9
1340,10
1350,8
1360,11
1370,9
1380,8
1390,8
1400,9
1410,9
1420,8
1430,11
1440,9
1450,9
1460,10
1470,12
1480,10
1490,12
1500,9
1510,11
1520,10
1530,12
1540,9
1550,12
1560,10
1570,11
1580,10
1590,12
1600,10
1610,12
1620,10
1630,11
1640,12
1650,11
1660,11
1670,11
1680,11
1690,10
1700,11
1710,11
1720,11
1730,10
1740,14
1750,16
1760,12
1770,12
1780,15
1790,13
1800,12
1810,12
1820,15
1830,13
1840,13
1850,11
1860,12
1870,14
1880,12
1890,13
1900,13
1910,14
1920,14
1930,14
1940,14
1950,15
1960,14
1970,14
1980,15
1990,15
2000,14
2010,15
2020,15
2030,14
2040,15
2050,16
2060,21
2070,15
2080,15
2090,15
2100,17
2110,16
2120,16
2130,17
2140,17
2150,16
2160,16
2170,17
2180,16
2190,19
2200,16
2210,16
2220,17
2230,18
2240,20
2250,16
2260,17
2270,16
2280,19
2290,21
2300,17
2310,17
2320,17
2330,19
2340,20
2350,21
2360,20
2370,21
2380,18
2390,18
2400,18
2410,18
2420,21
2430,21
2440,21
2450,22
2460,19
2470,24
2480,21
2490,22
2500,22
2510,22
2520,19
2530,26
2540,23
2550,23
2560,24
2570,22
2580,22
2590,23
2600,22
2610,24
2620,22
2630,22
2640,22
2650,23
2660,23
2670,22
2680,22
2690,22
2700,22
2710,22
2720,23
2730,23
2740,22
2750,23
2760,22
2770,22
2780,22
2790,23
2800,23
2810,22
2820,23
2830,23
2840,23
2850,23
2860,24
2870,28
2880,27
2890,27
2900,25
2910,24
2920,31
2930,29
2940,27
2950,24
2960,25
2970,26
2980,29
2990,28
3000,25
