size,duration_ms
10,3
20,3
30,3
40,2
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,4
130,3
140,2
150,3
160,3
170,4
180,4
190,4
200,3
210,4
220,4
230,3
240,4
250,4
260,5
270,4
280,4
290,5
300,4
310,6
320,4
330,4
340,5
350,4
360,4
370,5
380,5
390,4
400,5
410,7
420,5
430,5
440,5
450,6
460,4
470,6
480,4
490,5
500,5
510,4
520,5
530,6
540,6
550,7
560,8
570,6
580,7
590,6
600,7
610,6
620,6
630,7
640,5
650,7
660,8
670,7
680,7
690,8
700,7
710,6
720,10
730,8
740,8
750,7
760,7
770,7
780,6
790,8
800,7
810,8
820,9
830,9
840,9
850,8
860,8
870,9
880,7
890,8
900,10
910,8
920,10
930,9
940,8
950,9
960,9
970,9
980,9
990,10
1000,11
1010,13
1020,11
1030,15
1040,9
1050,10
1060,12
1070,11
1080,12
1090,12
1100,11
1110,11
1120,11
1130,11
1140,12
1150,11
1160,12
1170,10
1180,11
1190,12
1200,13
1210,11
1220,14
1230,11
1240,14
1250,11
1260,13
1270,14
1280,11
1290,12
1300,14
1310,15
1320,14
1330,14
1340,13
1350,15
1360,13
1370,13
1380,14
1390,15
1400,16
1410,13
1420,17
1430,15
1440,14
1450,14
1460,16
1470,13
1480,17
1490,16
1500,16
1510,15
1520,15
1530,16
1540,16
1550,15
1560,16
1570,17
1580,17
1590,18
1600,17
1610,16
1620,18
1630,16
1640,17
1650,16
1660,18
1670,19
1680,17
1690,16
1700,16
1710,18
1720,19
1730,18
1740,20
1750,21
1760,18
1770,20
1780,18
1790,20
1800,18
1810,20
1820,19
1830,20
1840,20
1850,20
1860,20
1870,19
1880,18
1890,20
1900,21
1910,20
1920,21
1930,21
1940,21
1950,21
1960,21
1970,22
1980,22
1990,24
2000,23
2010,21
2020,22
2030,24
2040,27
2050,21
2060,23
2070,22
2080,24
2090,23
2100,24
2110,22
2120,26
2130,23
2140,26
2150,25
2160,24
2170,26
2180,25
2190,24
2200,28
2210,27
2220,27
2230,27
2240,24
2250,27
2260,26
2270,29
2280,28
2290,29
2300,27
2310,27
2320,27
2330,29
2340,29
2350,27
2360,29
2370,28
2380,28
2390,31
2400,30
2410,31
2420,32
2430,32
2440,29
2450,30
2460,28
2470,28
2480,32
2490,33
2500,31
2510,31
2520,31
2530,32
2540,32
2550,30
2560,32
2570,32
2580,31
2590,33
2600,33
2610,38
2620,32
2630,34
2640,35
2650,33
2660,37
2670,34
2680,34
2690,34
2700,36
2710,35
2720,34
2730,32
2740,35
2750,36
2760,34
2770,35
2780,37
2790,36
2800,36
2810,36
2820,35
2830,37
2840,35
2850,36
2860,37
2870,37
2880,38
2890,38
2900,40
2910,39
2920,39
2930,41
2940,38
2950,38
2960,38
2970,40
2980,39
2990,40
3000,39
3010,42
3020,43
3030,42
3040,39
3050,41
3060,40
3070,42
3080,43
3090,40
3100,40
3110,40
3120,40
3130,40
3140,43
3150,44
3160,42
3170,42
3180,43
3190,40
3200,41
3210,42
3220,45
3230,46
3240,44
3250,44
3260,44
3270,43
3280,47
3290,44
3300,45
3310,45
3320,48
3330,46
3340,46
3350,46
3360,50
3370,49
3380,50
3390,50
3400,49
3410,49
3420,51
3430,50
3440,51
3450,50
3460,51
3470,50
3480,50
3490,50
3500,53
3510,51
3520,50
3530,52
3540,53
3550,52
3560,50
3570,53
3580,55
3590,51
3600,54
3610,54
3620,54
3630,58
3640,55
3650,55
3660,55
3670,53
3680,58
3690,56
3700,61
3710,54
3720,57
3730,57
3740,56
3750,58
3760,57
3770,55
3780,59
3790,55
3800,58
3810,57
3820,59
3830,65
3840,58
3850,59
3860,59
3870,57
3880,59
3890,62
3900,61
3910,60
3920,60
3930,61
3940,60
3950,61
3960,63
3970,61
3980,63
3990,61
4000,62
4010,62
4020,64
4030,63
4040,65
4050,64
4060,64
4070,67
4080,66
4090,67
4100,68
4110,67
4120,65
4130,68
4140,67
4150,67
4160,67
4170,66
4180,65
4190,72
4200,67
4210,69
4220,69
4230,70
4240,71
4250,70
4260,67
4270,71
4280,71
4290,69
4300,72
4310,68
4320,70
4330,73
4340,72
4350,72
4360,74
4370,73
4380,79
4390,76
4400,71
4410,74
4420,73
4430,73
4440,76
4450,75
4460,77
4470,76
4480,80
4490,77
4500,79
4510,79
4520,78
4530,81
4540,79
4550,77
4560,79
4570,79
4580,81
4590,81
4600,81
4610,79
4620,87
4630,79
4640,78
4650,81
4660,84
4670,82
4680,83
4690,84
4700,84
4710,87
4720,83
4730,87
4740,84
4750,84
4760,84
4770,87
4780,84
4790,88
4800,84
4810,87
4820,86
4830,87
4840,88
4850,88
4860,90
4870,87
4880,87
4890,88
4900,87
4910,92
4920,90
4930,91
4940,90
4950,88
4960,88
4970,89
4980,90
4990,91
5000,94
5010,89
5020,91
5030,92
5040,94
5050,91
5060,94
5070,94
5080,95
5090,94
5100,97
5110,95
5120,101
5130,96
5140,96
5150,95
5160,99
5170,98
5180,95
5190,96
5200,99
5210,97
5220,96
5230,97
5240,98
5250,99
5260,103
5270,102
5280,106
5290,100
5300,99
5310,99
5320,102
5330,102
5340,102
5350,103
5360,102
5370,100
5380,100
5390,102
5400,105
5410,105
5420,106
5430,104
5440,105
5450,107
5460,106
5470,107
5480,106
5490,108
5500,106
5510,109
5520,108
5530,111
5540,108
5550,108
5560,112
5570,110
5580,109
5590,109
5600,111
5610,110
5620,113
5630,115
5640,111
5650,109
5660,111
5670,111
5680,112
5690,114
5700,115
5710,115
5720,118
5730,118
5740,117
5750,113
5760,118
5770,114
5780,117
5790,118
5800,122
5810,120
5820,114
5830,117
5840,116
5850,113
5860,118
5870,116
5880,119
5890,121
5900,122
5910,120
5920,119
5930,122
5940,121
5950,124
5960,127
5970,119
5980,127
5990,118
6000,122
